"i","Seed","R12","R15","R12R15","R12R23","R12R25","R15R52","R12R25R23","R15R52R23","R12R15R54","R15R52R54","R12R15R23R34","R12R15R23R54","R12R25R23R34","R12R25R23R54","R15R52R23R54","R15R54","R12R23R34","R12R25R54","R15R52R23R34"
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.8730769230769231,0.05769230769230768,0.06923076923076922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.7622633136094674,0.09796597633136092,0.1151360946745562,0.00496153846153846,0.004326923076923076,0.0028846153846153835,0.0020769230769230765,0,0,0,0,0,0,0,0,0,0,0.010384615384615383,0,0,0
3,0.6655145084205735,0.12479866010468818,0.14372959035047791,0.012197573964497038,0.010592640532544375,0.007133875739644968,0.005063698224852069,0.0004326923076923076,0.0005884615384615382,0.00015576923076923073,0.000744230769230769,0.00031153846153846146,0,0,0,0,0,0.02765502958579881,0.0006490384615384614,0.0004326923076923075,0
4,0.5810453592748853,0.14135396237986236,0.1596204577290711,0.02000494053823395,0.017304379907259894,0.011768686703459258,0.008236253834774691,0.0013675573224852067,0.001856373150887573,0.0004888158284023666,0.002573866863905324,0.0010710931952662719,0.00008826923076923073,0.00008826923076923073,0.00006490384615384614,0.00006490384615384614,0.00002336538461538461,0.04921446813837049,0.0022379345414201175,0.0015027736686390528,0.00002336538461538461
5,0.5072972944438422,0.1501388666138606,0.16632637878653517,0.02736014076799656,0.023579832108934596,0.01618843031417404,0.011171710453822517,0.0027051606238620834,0.003665050741351842,0.0009598901174897584,0.005574607944640417,0.0023065312704824755,0.00036672520340236666,0.00036672520340236666,0.00027003744452662714,0.00027003744452662714,0.0000966877588757396,0.07315753679773115,0.004833591527509101,0.0032680766741579412,0.0000966877588757396
6,0.4429095609182776,0.15313171655896435,0.166518421164398,0.03370084378948642,0.028945289077740494,0.020052976824177914,0.013647866965308505,0.004286736315713241,0.005796537681992761,0.0015098013662795196,0.009678629059839901,0.003982287838555853,0.0009164828146051428,0.0009164828146051428,0.0006758115381059397,0.0006758115381059397,0.00024067127649920336,0.09810649361571143,0.00837056634384929,0.005696341221284047,0.00024067127649920336
7,0.38669411664788084,0.15188614082950774,0.16221252232190903,0.038770292399732134,0.033193845550227696,0.0231976428666861,0.015572649533046032,0.005951953136699637,0.008032404115493438,0.0020804509787938014,0.014733755628262865,0.0060294678833521295,0.0017859634669040569,0.0017859634669040569,0.0013188219854629259,0.0013188219854629259,0.0004671414814411313,0.12308425679037112,0.012712359705510365,0.008704287744910734,0.0004671414814411313
8,0.33761370953488057,0.14761534214479854,0.15491902378685374,0.04250765932092506,0.03628684472488385,0.025572480263157112,0.016935179057767945,0.007565882688202588,0.010190147088336701,0.002624264400134113,0.020549299488222685,0.008365365313309035,0.0029908240842280724,0.0029908240842280724,0.0022116149559678715,0.0022116149559678715,0.0007792091282602015,0.14741613513865748,0.01769143653804452,0.012183934174913648,0.0007792091282602015
9,0.2947627387092996,0.1412603712810865,0.14575928560556772,0.044971773794562464,0.03828628420452278,0.02719943931118669,0.01777233448337577,0.009028396137722787,0.012135519647149262,0.0031071235094264752,0.026925448386361444,0.010905642171974227,0.004519346147478578,0.004519346147478578,0.0033464973591982596,0.0033464973591982596,0.0011728487882803184,0.17065398870668555,0.0231344632467771,0.016019806214387214,0.0011728487882803184
