"i","Seed","R12","R15","R12R15","R12R23","R12R25","R15R52","R12R25R23","R12R15R23","R15R52R23","R12R15R54","R15R52R54","R12R15R23R34","R12R15R23R54","R12R25R23R34","R12R25R23R54","R15R52R23R54","R15R54","R12R23R34","R12R25R54","R15R52R23R34"
10,0.9185348753930035,0.03511591325648314,0.041696851663360165,0.0009007503154829154,0.0007840944156235284,0.000525070236565319,0.0003756800789175965,0.000013940897524537898,0.00001894622271627218,5.005325191734287e-6,0.00002483774441706755,0.000010372409249897212,3.421190811891149e-7,3.421190811891149e-7,2.5167936458195537e-7,2.5167936458195537e-7,9.043971660715958e-8,0.0019561934639622113,0.000021634766010349918,0.000014465335167170335,9.043971660715958e-8
11,0.9107626572166012,0.038239054045643414,0.04535248747265622,0.0010876858082656691,0.0009466057416455519,0.0006342472272051163,0.0004534385810605529,0.000018901078808952163,0.00002568469789143974,6.783619082487584e-6,0.000033845247571896704,0.000014129210039073177,5.315813083518367e-7,5.315813083518367e-7,3.9108833982733435e-7,3.9108833982733435e-7,1.4049296852450244e-7,0.002373161980595813,0.0000294757101665852,0.000019716037532823524,1.4049296852450244e-7
12,0.9030562039632299,0.04129586504543117,0.04892107260442334,0.0012895390095724745,0.0011220242495130098,0.0007521970322825176,0.0005373419772899571,0.00002484964584095054,0.00003376478544709113,8.915139606140596e-6,0.000044722105654553394,0.000018663595849678707,7.884282872662341e-7,7.884282872662341e-7,5.80099127916856e-7,5.80099127916856e-7,2.0832915934937828e-7,0.002826686855322375,0.00003894176758304072,0.000026058509804874687,2.0832915934937828e-7
13,0.8954149591604642,0.04428737304540074,0.052404129298560934,0.0015056909531225046,0.0013098031705816155,0.0008785669602830505,0.0006271239928394544,0.000031853718917254146,0.00004327726561772172,0.00001142354670046757,0.00005761749575027814,0.000024037015622578278,1.1260761417371455e-6,1.1260761417371455e-6,8.285955863263613e-7,8.285955863263613e-7,2.9748055541078423e-7,0.0033158975813666084,0.00005016201007817082,0.00003358048012769986,2.9748055541078423e-7
14,0.887838371044491,0.047214590715616435,0.05580315591527553,0.0017355384242407914,0.0015094099829655924,0.0010130130326968072,0.0007225253915439844,0.000039975489908929704,0.00005430618563958519,0.00001433069573065549,0.00007267440528150318,0.00003030825555097282,1.5588487979143628e-6,1.5588487979143628e-6,1.1471327754989028e-6,1.1471327754989028e-6,4.117160224154599e-7,0.0038399388743522176,0.00006326004178398697,0.000042366149730530363,4.117160224154599e-7
15,0.8803258925202685,0.05007851678948998,0.05911962729112855,0.001978493628759785,0.001720326103494248,0.0011551998062584098,0.0008232938225013757,0.00004927241188412045,0.00006692912065788276,0.000017656708773762302,0.0000900297895239111,0.00003753350946641267,2.101910654310215e-6,2.101910654310215e-6,1.5468876745882e-6,1.5468876745882e-6,5.550229797220148e-7,0.0043979704335049725,0.00007835414161364289,0.00005249628005749844,5.550229797220148e-7
16,0.8728769811220201,0.05288013624433158,0.06235499508991554,0.0022339838682089454,0.0019420465857167939,0.0013048001984628337,0.0009291836697461122,0.000059797383022710916,0.00008121742673350485,0.000021420043710793934,0.00010981472581150895,0.00004576644769142643,2.7712018608890426e-6,2.7712018608890426e-6,2.0396117934294044e-6,2.0396117934294044e-6,7.315900674596379e-7,0.0049891667064162586,0.00009555740264858537,0.00006404827812008254,7.315900674596379e-7
17,0.8654910989740645,0.055620420479642656,0.06551068814845065,0.0025014512211800808,0.002174079823843172,0.0014614953163003298,0.0010399559048797516,0.00007159892497362684,0.00009723648615893546,0.000025637561185308617,0.0001321545644935984,0.00005505828438888755,3.583376128224091e-6,3.583376128224091e-6,2.6375856236565136e-6,2.6375856236565136e-6,9.457905045675772e-7,0.005612716657315414,0.00011497786850575331,0.00007709628010471088,9.457905045675772e-7
18,0.8581677127519762,0.058300327493177845,0.06858811281732956,0.0027803522307580895,0.0024159472625106654,0.0016249742881546338,0.0011553779426034566,0.00008472135580179987,0.00011504594528780106,0.0000303245894860012,0.00015716907670539922,0.00006545784343768506,4.555740989813446e-6,4.555740989813446e-6,3.353574873392782e-6,3.353574873392782e-6,1.2021661164206633e-6,0.006267823538799921,0.00013671866674418504,0.00009171123326771418,1.2021661164206633e-6
19,0.8509062936440749,0.0609208020548035,0.07158865329674222,0.0030701575979086367,0.0026671831122680434,0.0017949340988095738,0.001275223499099064,0.00009920495766823926,0.0001346999450775377,0.00003549498740929846,0.0001849725990129801,0.00007701162286371962,5.706200442691457e-6,5.706200442691457e-6,4.200788431410781e-6,4.200788431410781e-6,1.5054120112806752e-6,0.006953704666973217,0.0001608781393692917,0.0001079609761492605,1.5054120112806752e-6
