"i","Seed","R12","R15","R12R15","R12R23","R12R25","R15R52","R12R25R23","R12R15R23","R15R52R23","R12R15R54","R15R52R54","R12R15R23R34","R12R15R23R54","R12R25R23R34","R12R25R23R54","R15R52R23R54","R15R54","R12R23R34","R12R25R54","R15R52R23R34"
246,0.12363829330374147,0.08146562824060317,0.07705785168013392,0.03687190382438463,0.031014795557034475,0.023021678894577697,0.013850224929806938,0.011468917819536533,0.015192420832709823,0.003723503013173289,0.0739633811505435,0.028952957161047087,0.021373752547400864,0.021373752547400864,0.015997264763725736,0.015997264763725736,0.00537648778367513,0.2863983033568872,0.06287470605671944,0.04501042398949642,0.00537648778367513
247,0.12259212312963289,0.08099072780845155,0.07654968003339853,0.03674449306451447,0.030905210438953584,0.022947905805294374,0.013796587259220101,0.011458030509475471,0.01517631458703433,0.003718284077558858,0.07433210018878735,0.029091459410345157,0.021525676755727963,0.021525676755727963,0.016111953941921102,0.016111953941921102,0.005413722813806863,0.28716888187368855,0.06318485401228978,0.0452406407784422,0.005413722813806863
248,0.12155480516468985,0.08051734414990282,0.07604379431199079,0.03661639412130839,0.030795077237346615,0.022873656310909797,0.013742737810398597,0.01144662679644228,0.015159528128746061,0.003712901332303781,0.07469954511943248,0.029229425282937357,0.021677439901598306,0.021677439901598306,0.016226534247015856,0.016226534247015856,0.005450905654582451,0.2879343786740225,0.06349390611667932,0.04547011983649514,0.005450905654582451
249,0.12052626450560401,0.08004549361622328,0.0755402033693061,0.036487626945279086,0.03068441267080702,0.022798942613412494,0.0136886843318666,0.011434712799525805,0.015142069794235503,0.0037073569947096985,0.07506570906064557,0.029366852661041342,0.021829035182885766,0.021829035182885766,0.01634100051498028,0.01634100051498028,0.005488034667905489,0.2886948166171424,0.0638018568890528,0.04569885639960424,0.005488034667905489
250,0.11950642688286427,0.07957519207982479,0.07503891558908475,0.03635821125989259,0.03057323326104135,0.022723776786265384,0.013634434473627213,0.011422294632171707,0.015123947908646546,0.0037016532764748374,0.07543058533009836,0.02950373950436001,0.02198045588082812,0.02198045588082812,0.016455347642975536,0.016455347642975536,0.005525108237852586,0.2894502186508355,0.06410870101576087,0.04592684582573837,0.005525108237852586
251,0.11849521865539388,0.07910645494228913,0.07453993889491232,0.03622816656243845,0.03046155533375645,0.022648170774737485,0.013579995787700975,0.011409378400996404,0.015105170784309882,0.0036957923833134767,0.07579416744269729,0.02964008384909628,0.022131695359914588,0.022131695359914588,0.016569570589297252,0.016569570589297252,0.005562124770617334,0.29020060780672635,0.06441443334837128,0.04615408359360102,0.005562124770617334
252,0.11749256680523285,0.07863929714227803,0.07404328075956229,0.03609751212493266,0.030349395019571956,0.022572136396257388,0.013525375728675284,0.011395970204629352,0.015085746719215065,0.0036897765145857122,0.07615644910832167,0.02977588380697329,0.022282747067757687,0.022282747067757687,0.016683664373307216,0.016683664373307216,0.0055990826944504685,0.2909460071956755,0.06471904890170885,0.046380565301348396,0.0055990826944504685
253,0.11649839893226549,0.07817373316333055,0.07354894821418334,0.03596626699505205,0.030236768254957146,0.022495685340787788,0.013470581654264279,0.011382076132583291,0.015065683995520667,0.0036836078629373745,0.076517424229571,0.029911137564260042,0.022433604534949837,0.022433604534949837,0.01679762407535351,0.01679762407535351,0.005635980459596326,0.2916864400032711,0.06502254285190456,0.04660628666531097,0.005635980459596326
254,0.11551264324899248,0.07770977704154913,0.07305694785733369,0.035834449997099074,0.03012369078319118,0.022418829171220407,0.013415620825878681,0.011367702264152088,0.015044990878102038,0.0036772886139499485,0.07687708689952152,0.030045843380802684,0.022584261374905042,0.022584261374905042,0.01691144483667934,0.01691144483667934,0.0056728165382257,0.2924219294854129,0.06532491053445413,0.04683124351871885,0.0056728165382257
255,0.11453522857534718,0.0772474423731759,0.07256728586386482,0.03570207973299575,0.030010178155345738,0.0223415793237906,0.013360500409205169,0.011352854667335785,0.01502367561313613,0.003670820945800343,0.07723543139949252,0.030179999589061472,0.022734711283686062,0.022734711283686062,0.01702512185932086,0.01702512185932086,0.005709589424365199,0.29315249896398626,0.06562614744228605,0.04705543181043105,0.005709589424365199
256,0.11356608433355578,0.0767867423220607,0.07207996799365693,0.0355691745833058,0.029896245731289187,0.022263947108510995,0.01330522747479482,0.011337539397792508,0.015001746426722872,0.003664207028930362,0.07759245219682247,0.030313604593153524,0.022884948039817422,0.022884948039817422,0.01713865040599422,0.01713865040599422,0.005746297633823203,0.2938781718226249,0.06592624922383951,0.047278847603668954,0.005746297633823203
257,0.11260514054304108,0.07632768962702213,0.07159499960020829,0.03543575270828373,0.029781908680711337,0.022185943709623533,0.013249808998660212,0.011321762497816844,0.014979211523542575,0.003657449025725729,0.07794814394265552,0.030446656867901472,0.02303496550408465,0.02303496550408465,0.017252025799972145,0.017252025799972145,0.005782939704112507,0.2945989715025614,0.0662252116811524,0.047501487074754066,0.005782939704112507
258,0.11165232781536918,0.07587029660910319,0.07111238563908096,0.03530183204894997,0.029667181984167925,0.022107580186069255,0.013194251862880726,0.01130552999534433,0.014956079085548846,0.0036505490902045156,0.07830250146973836,0.030579154957888075,0.023184757619320075,0.023184757619320075,0.017365243424950313,0.017365243424950313,0.005819514194369765,0.29531492149856353,0.06652303076795951,0.0477233465118503,0.005819514194369765
259,0.11070757734923914,0.07541457517872276,0.07063213067620476,0.03516743032819089,0.029552080434143976,0.022028867471975227,0.013138562856215678,0.011288847902981682,0.014932357270696512,0.003643509367714829,0.07865551979022786,0.03071109747651688,0.023334318410175563,0.023334318410175563,0.01747829872490376,0.01747829872490376,0.005856019685271809,0.29602604535495436,0.06681970258780119,0.04794442231371099,0.005856019685271809
260,0.10977082092551481,0.07496053684272448,0.07015423889604207,0.03503256505188285,0.02943661863613519,0.021949816377158007,0.013082748674724852,0.011271722217062404,0.014908054211704016,0.003636331994641611,0.07900719409350977,0.03084248310507904,0.02348364198288253,0.02348364198288253,0.017591187203933576,0.017591187203933576,0.0058924547789489575,0.29673236666171643,0.06711522339214263,0.04816471098843074,0.0058924547789489575
261,0.10884199090229893,0.07450819271132417,0.06967871410961522,0.034897253510039104,0.02932081100974656,0.021870437587643052,0.013026815922396063,0.011254158916727397,0.0148831780148498,0.003629019098122403,0.0793575197440286,0.03097331059182629,0.02363272252499957,0.02363272252499957,0.0177039044261042,0.0177039044261042,0.005928818098895373,0.29743390905067685,0.06740958957850397,0.04838420915220232,0.005928818098895373
262,0.10792102021004871,0.07405755350495731,0.06920555976239891,0.03476151277797883,0.029204671789807405,0.021790741666199487,0.012970771111779352,0.01123616396303022,0.014857736758802155,0.003621572795771935,0.079706492279129,0.03110357875105025,0.023781554305148066,0.023781554305148066,0.017816446015271475,0.017816446015271475,0.005965108289876598,0.29813069619177296,0.06770279768860143,0.048602913528078745,0.005965108289876598
263,0.10700784234673291,0.07360862956102787,0.0687347789420794,0.03462535971751714,0.029088215027502067,0.021710739052889685,0.012914620664627459,0.011217743298066638,0.01483173849348203,0.003613995195415393,0.08005410740690878,0.031233286462168042,0.02393013167273609,0.02393013167273609,0.017928807654901777,0.017928807654901777,0.006001324017834317,0.29882275178939693,0.06799484440649951,0.04882082094474074,0.006001324017834317
264,0.1061023913730298,0.07316143084055972,0.0682663743861829,0.0344888109781753,0.028971454591515504,0.0216304400656331,0.012858370912542206,0.011198902844128094,0.014805191238958315,0.0036062883948302224,0.08040036100408396,0.03136243266881432,0.024078449057670908,0.024078449057670908,0.018040985087882443,0.018040985087882443,0.006037463969788471,0.29951009957881775,0.06828572655677453,0.04903792833526963,0.006037463969788471
265,0.1052046019075657,0.07271596693475202,0.06780034848957493,0.03435188299841024,0.028854404169193045,0.021549854900783802,0.012802028097626438,0.01117964850287875,0.014778102984375078,0.003598454481496329,0.08074524911386571,0.03149101637793974,0.024226500970060492,0.024226500970060492,0.018152974116323724,0.018152974116323724,0.006073526853736773,0.3001927633226796,0.06857544110268969,0.04925423273592596,0.006073526853736773
266,0.10431440912219399,0.07227224707143978,0.06733670331183272,0.03421459200686241,0.028737077267713587,0.02146899363372122,0.012745598373141192,0.011159986154555736,0.014750481686910271,0.0035904955323545346,0.08108876794384981,0.031619036658916,0.024374281999904244,0.024374281999904244,0.018264770601352513,0.018264770601352513,0.0061095113985517365,0.30087076680757535,0.06886398514438162,0.0494697312849338,0.0061095113985517365
267,0.10343174873731388,0.07183028012146091,0.06687544058449257,0.03407695402362127,0.02861948721527556,0.021387866219453534,0.01268908780416774,0.011139921657192273,0.014722335270765424,0.0035824136135731498,0.08143091386391843,0.031746492642647416,0.024521786816773347,0.024521786816773347,0.01837637046289807,0.01837637046289807,0.006145416353875282,0.3015441338406937,0.06915135591705876,0.049684421221271015,0.006145416353875282
268,0.10255655701722893,0.07139007460493096,0.0664165617181742,0.033938984861507475,0.02850164716229494,0.02130648249323327,0.012632502368274208,0.011119460845863282,0.014693671626185806,0.0035742107803225253,0.08177168340415464,0.031873383520689094,0.024669010169481,0.024669010169481,0.018487769679469992,0.018487769679469992,0.006181240490011014,0.3022128882465386,0.06943755078921152,0.04989829988346555,0.006181240490011014
269,0.1016887707655447,0.07095163869742688,0.0659600678095839,0.03380070012737098,0.02838357008261468,0.021224852171184538,0.012575847956186444,0.011098609531953166,0.014664498608510611,0.0035658890765574458,0.08211107325276971,0.031999708544371834,0.02481594688574286,0.02481594688574286,0.018598964287928624,0.018598964287928624,0.006216982597814239,0.3028770538637203,0.06972256726083446,0.05011136470839788,0.006216982597814239
270,0.10082832732060547,0.07051498023608078,0.06550595964839839,0.033662115223404336,0.028265268774724902,0.021142984850941526,0.012519130372462814,0.011077373502445408,0.014634824037252636,0.003557450534807229,0.08244908025404342,0.0321254670239337,0.024962591871827967,0.024962591871827967,0.018709950383248155,0.018709950383248155,0.0062526414885798135,0.30353665454181616,0.07000640296166061,0.050323613230109726,0.0062526414885798135
271,0.09997516455096957,0.07008010672558525,0.06505423772403131,0.033523245348470336,0.028146755862993224,0.021060890012297672,0.01246235533617267,0.011055758519233624,0.014604655695207022,0.0035488971759733987,0.08278570140627746,0.032250658327658326,0.02510894011220049,0.02510894011220049,0.018820724118272607,0.018820724118272607,0.006288215993927886,0.30419171413830015,0.07028905564940785,0.05053504307861914,0.006288215993927886
272,0.09912922085092289,0.06964702534411099,0.06460490223228396,0.033384105499443296,0.028028043798904598,0.02097857701786516,0.012405528481578141,0.01103377031845375,0.014574001327588543,0.003540231009134794,0.08312093385976216,0.032375281881020054,0.025254986669152563,0.025254986669152563,0.018931281703464944,0.018931281703464944,0.00632370496568762,0.3048422565155405,0.07057052320803778,0.05074565197874212,0.00632370496568762
273,0.09829043513603046,0.06921574294913838,0.0641579530818824,0.03324471047256325,0.027909144862310074,0.02089605511374422,0.012348655358819037,0.011011414609837015,0.014542868641197004,0.003531454031359989,0.08345477491475659,0.032499337165835834,0.02540072668242845,0.02540072668242845,0.01904161940664948,0.01904161940664948,0.0063591072757789675,0.3054883055378633,0.07085080364602682,0.05095543774892077,0.0063591072757789675
274,0.09745874683872557,0.06878626608320368,0.06371338990090233,0.03310507486480236,0.027790071162683932,0.02081333343020185,0.012291741434600515,0.010988697076083362,0.014511265303610247,0.0035225682275268847,0.08378722201948222,0.03262282371942402,0.025546155368840417,0.025546155368840417,0.01915173355274785,0.01915173355274785,0.006394421816092568,0.30612988506868216,0.07112989509464993,0.051164398300058214,0.006394421816092568
275,0.09663409590393636,0.0683586009795614,0.06327121204308382,0.032965213075242805,0.027670834640388553,0.020730420982359502,0.012234792092883312,0.010965623372254985,0.014479198942404334,0.0035135755701493497,0.08411827276813023,0.032745741133770025,0.02569126802187652,0.02569126802187652,0.019261620523508684,0.019261620523508684,0.006429647498367837,0.3067670189676912,0.07140779580627676,0.05137253163436023,0.006429647498367837
276,0.0958164227847492,0.06793275356776371,0.06283141859403728,0.03282513930646554,0.02755144706794655,0.020647326670889313,0.01217781263557623,0.010942199125189645,0.014446677144400424,0.0035044780192107793,0.08444792489888266,0.03286808905469886,0.025836060011300566,0.025836060011300566,0.019371276757231236,0.019371276757231236,0.00646478325406933,0.307399731088122,0.07168450415268066,0.051579835844183825,0.00646478325406933
277,0.09500566843810901,0.06750872947915806,0.06239400837734267,0.032684867565949176,0.027431920051319593,0.020564059282718518,0.012120808283230661,0.010918429932933453,0.014413707454937898,0.003495277522004445,0.08477617629194731,0.03298986718105462,0.02598052678274457,0.02598052678274457,0.01948069874848313,0.01948069874848313,0.0064998280342614375,0.3080280452740624,0.07196001862336013,0.051786309110892714,0.0064998280342614375
278,0.09420177432055578,0.0670865340523042,0.06195897996054345,0.032544411667478484,0.02731226503119339,0.0204806274917416,0.012063784175736886,0.010894321364192775,0.014380297377173284,0.0034859760129805095,0.0851030249676068,0.03311107526388693,0.02612466385729395,0.02612466385729395,0.019589883047812465,0.019589883047812465,0.006534780809481482,0.30865198535783583,0.07223433782387333,0.0519919497037199,0.006534780809481482
279,0.09340468238399723,0.06666617233831151,0.06152633166103687,0.03240378523256174,0.027192493284268354,0.020397039859539823,0.01200674537302192,0.010869878957804939,0.014346454371404522,0.003476575413599584,0.08542846908428159,0.0332317131056443,0.026268466831065682,0.026268466831065682,0.019698826261454392,0.019698826261454392,0.006569640569611288,0.3092715751574412,0.07250746047418526,0.052196755978637314,0.006569640569611288
280,0.09261433507151726,0.06624764910609787,0.06109606155186234,0.032263001691856426,0.027072615924555437,0.020313304836107764,0.011949696855748666,0.010845108222227434,0.014312185854420133,0.0034670776321927017,0.0857525069366072,0.03335178055937452,0.026411931374779728,0.026411931374779728,0.01980752505103244,0.01980752505103244,0.0066044063237472835,0.3098868384740516,0.07277938540702794,0.05240072637723271,0.0066044063237472835
281,0.0918306753132198,0.06583096884757103,0.06066816746738943,0.03212207428660263,0.02695264390467667,0.020229430760586472,0.01189264352601616,0.010820014635045274,0.014277499198872865,0.0034574845638275908,0.08607513695352577,0.03347127752793201,0.026555053233323928,0.026555053233323928,0.019915976133254715,0.019915976133254715,0.006639077100069211,0.3104977990895702,0.0730501115662735,0.05260385942559379,0.006639077100069211
282,0.09105364652210793,0.06541613578273354,0.06024264700890699,0.03198101607006361,0.026832588017169912,0.02014542586200291,0.011835590208060697,0.010794603642496223,0.014242401732677342,0.0034477980901811197,0.0863963576963918,0.03359020396319217,0.026697828225312657,0.026697828225312657,0.020024176279605167,0.020024176279605167,0.006673651945707487,0.3111044807642441,0.07331963800532026,0.052806153733199655,0.006673651945707487
283,0.09028319258999778,0.06500315386471232,0.0598194975501151,0.03183983990897291,0.026712458895797413,0.020061298260015313,0.011778541648957601,0.010768880659013547,0.014206900738431347,0.003438020079417801,0.08671616785709244,0.033708559865272776,0.02684025224263943,0.02684025224263943,0.020132122316030128,0.020132122316030128,0.006708129926609298,0.31170690723433314,0.07358796388549196,0.05300760799181969,0.006708129926609298
284,0.08951925788346704,0.06459202678471375,0.05939871624252117,0.03169855848498759,0.026592267016857685,0.019977055965664126,0.011721502519323468,0.01074285106678601,0.014171003452860242,0.0034281523860742328,0.08703456625618217,0.03382634528176235,0.026982321250023745,0.026982321250023745,0.020239811122620265,0.020239811122620265,0.006742510127403476,0.3123051022098343,0.07385508847444994,0.05320822097441984,0.006742510127403476
285,0.0887617872398377,0.06418275797690542,0.05898030002074188,0.031557184296146866,0.02647202270050029,0.01989270688212821,0.011664477414018657,0.010716520215334802,0.014134717066284167,0.0034181968509493653,0.08735155184103205,0.033943560306955584,0.027124031284552347,0.027124031284552347,0.020347239633288123,0.020347239633288123,0.006776791651264219,0.3128990893722595,0.07412101114461851,0.05340799153407648,0.006776791651264219
286,0.08801072596319294,0.06377535062322552,0.058564245607712284,0.031415729658335834,0.026351736112043146,0.019808258805485972,0.011607470852849862,0.010689893421107082,0.014098048722107553,0.0034081553010004715,0.08766712368399351,0.03406020508109577,0.02726537845521519,0.02726537845521519,0.020454404835441472,0.020454404835441472,0.006810973619773712,0.31348889237246697,0.07438573137162352,0.05360691860289776,0.006810973619773712
287,0.08726601982042746,0.06336980765812068,0.05815054951980366,0.03127420670675364,0.026231417263291888,0.0197237194254811,0.011550487281272538,0.010662975967085847,0.014061005516330558,0.0033980295492447112,0.08798128098057688,0.03417627978962427,0.027406358942436263,0.027406358942436263,0.020561303769652543,0.020561303769652543,0.006845055172783717,0.3140745348285441,0.07464924873274395,0.05380500119095262,0.006845055172783717
288,0.08652761503733154,0.06296613177321349,0.05773920807185146,0.03113262739738568,0.02611107601386096,0.01963909632629262,0.011493531071093058,0.010635773102415843,0.014023594497082022,0.0033878213946661796,0.08829402304764442,0.034291784662437,0.02754696899759957,0.02754696899759957,0.0206679335293234,0.0206679335293234,0.006879035468276164,0.3146560403237421,0.07491156290537687,0.05400223838520743,0.006879035468276164
289,0.08579545829470797,0.06256432542190035,0.057330217382094754,0.03099100350847931,0.025990722072496013,0.01955439698730894,0.011436606521170366,0.010608290042045191,0.013985822664173513,0.0033775326221283214,0.08860534932161827,0.03440671997314793,0.02768720494257039,0.02768720494257039,0.02077429126034756,0.02077429126034756,0.006912913682222826,0.31523343240446056,0.07517267366551549,0.054198629348470355,0.006912913682222826
290,0.08506949672452198,0.0621643908238809,0.0569235733770287,0.030849346642022643,0.025870364998397247,0.01946962878390564,0.011379717858117,0.010580531966382485,0.013947696968674093,0.0033671650022916067,0.08891525935670307,0.034521086038359634,0.027827063169212126,0.027827063169212126,0.02088037416076801,0.02088037416076801,0.006946689008444109,0.3158067345782815,0.07543258088624044,0.054394173318343446,0.006946689008444109
291,0.08434967790608372,0.061766329969619685,0.056519271796171174,0.030707668225225963,0.025750014202543362,0.01938479898822666,0.011322869236999303,0.01055250402096902,0.013909224312505382,0.0033567202915363594,0.0892237528231233,0.034634883216940804,0.027966540138898866,0.027966540138898866,0.020986179480431834,0.020986179480431834,0.006980360658467025,0.3163759703120518,0.07569128453622441,0.054588869606182505,0.006980360658467025
292,0.08363594986226301,0.06137014462474111,0.056117308196745166,0.030565979512005317,0.025629678949015737,0.019299914769968656,0.011266064742036655,0.010524211316165918,0.013870411548056549,0.003346200231890629,0.08953082950537555,0.0347481119093108,0.02810563238202392,0.02810563238202392,0.021091704520641526,0.021091704520641526,0.007013927861382389,0.3169411630300135,0.07594878467824984,0.05478271759606477,0.007013927861382389
293,0.08292826105573617,0.0609758363343586,0.0557176779582781,0.030424291584467866,0.025509368356322514,0.019214983197168262,0.011209308387299596,0.01049565892685583,0.01383126547781883,0.0033356065509629997,0.0898364893004956,0.034860772556731166,0.028244336497504487,0.028244336497504487,0.021196946633803185,0.021196946633803185,0.007047389863701295,0.317502336111981,0.07620508146774,0.054975716743764454,0.007047389863701295
294,0.08222656038526456,0.06058340642733879,0.05532037628711945,0.0302826153543986,0.025389091398722266,0.019130011236991935,0.011152604117406659,0.010466851892158962,0.013791792854039201,0.0033249409618802375,0.09014073221634028,0.03497286564060416,0.028382649152282675,0.028382649152282675,0.021301903223071742,0.021301903223071742,0.007080745929210925,0.31805951289156376,0.07646017515130323,0.055167866575736135,0.007080745929210925
295,0.08153079718200462,0.060192856020501624,0.05492539822087792,0.03014096156474799,0.025268856907546922,0.019045005756528184,0.011095955808219798,0.010437795215163151,0.013752000378392817,0.003314205163229666,0.09044355836988427,0.035084391681778224,0.028520567080823067,0.028520567080823067,0.02140657174199333,0.02140657174199333,0.007113995338829727,0.31861271665443497,0.07671406606529045,0.05535916668810605,0.007113995338829727
296,0.0808409212058492,0.059804186022757326,0.05453273863277949,0.029999340791120196,0.02514867357252365,0.018959973523581933,0.011039367267538257,0.010408493862667685,0.013711894701673857,0.0033034008390061716,0.09074496798553175,0.03519535123986042,0.028658087084606994,0.028658087084606994,0.02151094969414496,0.02151094969414496,0.007147137390462023,0.31916197063664375,0.07696675463436592,0.05554961674567133,0.007147137390462023
297,0.0801568826417997,0.05941739713918099,0.05414239223594758,0.02985776344326148,0.025028549943095377,0.018874921207470727,0.010982842235790742,0.010378952764940653,0.013671482423504393,0.0032925296585637393,0.09104496139344295,0.035305744912535804,0.02879520603162373,0.02879520603162373,0.02161503463277164,0.02161503463277164,0.007180171398852085,0.31970729802297154,0.07721824137009116,0.055739216480907156,0.007180171398852085
298,0.07947863209636909,0.05903248987502567,0.05375435358760647,0.02971623976654839,0.02490849442973969,0.0187898553798226,0.010926384386725777,0.01034917681548951,0.01363077009206093,0.0032815932765714183,0.09134353902787556,0.03541557333489371,0.028931920855858776,0.028931920855858776,0.021718824160421046,0.021718824160421046,0.007213096695437723,0.320248721945331,0.07746852686952212,0.05592796569298186,0.007213096695437723
299,0.07880612059401519,0.058649464539674866,0.05336861709320937,0.029574779843475462,0.024788515305285825,0.01870478251537535,0.010869997328100104,0.010319170870844633,0.013589764203818253,0.0032705933329736188,0.09164070142554105,0.03552483717876097,0.029068228556779385,0.029068228556779385,0.02182231592857594,0.02182231592857594,0.0072459126282034365,0.32078626548120703,0.07771761181381952,0.05611586424678009,0.0072459126282034365
300,0.0781392995736043,0.058268321250535125,0.0529851770104922,0.029433393595141997,0.024668620706229435,0.01861970899277697,0.010813684602365021,0.01028893975035557,0.013548471203310217,0.003259531452954647,0.0919364492239758,0.03563353715204197,0.029204126198817567,0.029204126198817567,0.021925507637284385,0.021925507637284385,0.007278618561533173,0.3213199516521391,0.07796549696687237,0.056302912071933844,0.007278618561533173
301,0.07747812088490456,0.057889059936869665,0.05260402745345425,0.029292090782737635,0.024548818634044952,0.0185346410953871,0.01075744968735053,0.010258488235999775,0.013506897482907154,0.003248409246907379,0.09223078315992722,0.03574167399806562,0.029339610910850668,0.029339610910850668,0.02202839703478794,0.02202839703478794,0.007311213876062719,0.321849803422244,0.07821218317393466,0.05648910916186162,0.007311213876062719
302,0.07682253678510922,0.05751168034357377,0.05222516239626699,0.029150881009026377,0.024429116956495217,0.01844958501207919,0.01070129599694718,0.010227821072203531,0.013465049382609515,0.003237228310405984,0.09252370406775459,0.035849248494939125,0.029474679885679738,0.029474679885679738,0.02213098191714794,0.02213098191714794,0.007343697968531793,0.3223758436967786,0.07845767136027511,0.05667445557281549,0.007343697968531793
303,0.07617249993538908,0.05713618203489275,0.05184857567711207,0.02900977371982876,0.024309523408938164,0.01836454683804325,0.010645226881785506,0.010196942965674841,0.01342293318985744,0.0032259902241826,0.09281521287784486,0.03595626145490859,0.029609330379505833,0.029609330379505833,0.022233260127869973,0.022233260127869973,0.007376070251635852,0.32289809532074126,0.07870196252984006,0.05685895142293628,0.007376070251635852
304,0.07552796339747425,0.05676256439808332,0.05147426100194968,0.028868778205501863,0.024190045595630327,0.018279532575588908,0.010589245629912949,0.010165858585248022,0.013380555139355895,0.003214696554107876,0.09310531061504315,0.03606271372372645,0.029743559711404407,0.029743559711404407,0.02233522955752672,0.02233522955752672,0.007408330153877678,0.3234165810775123,0.07894505776392945,0.057042596891316716,0.007408330153877678
305,0.07488888063026486,0.05639082664701904,0.051102211948218415,0.028727903602416845,0.024070690991026905,0.018194548134948686,0.010533355467468154,0.010134572561739774,0.013337921412915055,0.003203348851175283,0.09339399839709817,0.03616860618002558,0.029877365262797967,0.029877365262797967,0.0224368881433792,0.0224368881433792,0.007440477119418757,0.3239313236875318,0.07918695821988575,0.0572253922170726,0.007440477119418757
306,0.07425520548647031,0.05602096782574074,0.05073242196846766,0.028587158894433758,0.02395146694107822,0.018109599335081186,0.010477559559352569,0.010103089487816479,0.013295038139305595,0.0031919486514891183,0.09368127743312234,0.03627393973470026,0.030010744476927118,0.030010744476927118,0.022538233868996598,0.022538233868996598,0.00747251060793051,0.324442345807014,0.07942766512979602,0.05740733769842209,0.00747251060793051
307,0.07362689220927711,0.05565298681195249,0.05036488439392359,0.028446552914373324,0.023832380664522288,0.018024691904474102,0.010421861009899216,0.010071413917872482,0.013251911394128579,0.003180497476256099,0.09396714902206667,0.036378715330293784,0.030143694858320174,0.030143694858320174,0.02263926476387476,0.02263926476387476,0.007504430094445401,0.32494967002669867,0.0796671797992068,0.0575884336917729,0.007504430094445401
308,0.07300389542904476,0.055286882320464116,0.04999959243798994,0.02830609434548541,0.023713439254173345,0.017939831481946833,0.010366262863538575,0.010039550367919144,0.013208547199699614,0.003168996831780473,0.0942516145512104,0.03648293394039278,0.03027621397226146,0.03027621397226146,0.022739978903053487,0.022739978903053487,0.007536235069207962,0.32545331887063783,0.07990550360585202,0.057768680610817635,0.007536235069207962
309,0.07238617016002977,0.05492265290658067,0.04963653919968444,0.02816579172291399,0.023594649678206108,0.01785502361745251,0.010310768105461476,0.010007503315484407,0.01316495152494696,0.0031574482094625564,0.09453467549466525,0.036586596569028164,0.030408299444258456,0.030408299444258456,0.02284037440673268,0.02284037440673268,0.007567925037525767,0.32595331479501766,0.08014263799839376,0.0579480789256371,0.007567925037525767
310,0.0717736717971372,0.054560296969439905,0.049275717667012074,0.028025653435158254,0.023476018781435577,0.017770273772879326,0.010255379662278923,0.009975277199522669,0.013121130285323279,0.003145853085800613,0.0948163334118944,0.03668970425008278,0.030539948959507925,0.030539948959507925,0.022940449439887524,0.022940449439887524,0.007599499519620393,0.3264496801870145,0.08037858449517582,0.058126629161811626,0.007599499519620393
311,0.07116635611269989,0.05419981275529825,0.04891712072027607,0.027885687725529705,0.023357553286592184,0.017685587322850936,0.010200100402678764,0.00994287642033473,0.013077089342730722,0.003134212922395995,0.09509658994624598,0.036792258046705564,0.030671160262361157,0.030671160262361157,0.02304020221188275,0.02304020221188275,0.0076309580504783986,0.3269424373636846,0.08061334468299018,0.05830433189954042,0.0076309580504783986
312,0.07056417925328475,0.05384119836076605,0.04856074113532774,0.02774590269360497,0.02323925979559214,0.01760096955552583,0.010144933138079135,0.009910305339497598,0.013032834505459064,0.003122529165961469,0.09537544682350127,0.036894259050732355,0.030801931155788463,0.030801931155788463,0.0231396309760861,0.0231396309760861,0.007662300179702358,0.3274316085708874,0.0808469202158561,0.05848118777276893,0.007662300179702358
313,0.06996709773652618,0.053484451735992825,0.048206571586756,0.027606306296674106,0.023121144790802767,0.017516425673395498,0.010089880623278603,0.009877568279803916,0.012988371528136547,0.0031108032483326354,0.09565290585043731,0.03699570838211315,0.030932259500843055,0.030932259500843055,0.023238734029481074,0.023238734029481074,0.007693525471361973,0.32791721598224066,0.08107931281381202,0.058657197468324186,0.007693525471361973
314,0.06937506844798634,0.053129570687803135,0.04785460465101769,0.02746690635118415,0.023003214636302685,0.017431960794081207,0.010034945557102937,0.009844669525210825,0.012943706111693196,0.0030990365864823756,0.09592896891340405,0.03709660718834593,0.03106214321612442,0.03106214321612442,0.023337509712279113,0.023337509712279113,0.0077246335038452995,0.3283992816981082,0.08131052426172004,0.05883236172505814,0.0077246335038452995
315,0.06878804863804186,0.05277655288278384,0.04750483280950954,0.027327710534177766,0.022885475579136658,0.017347579951129333,0.009980130583048427,0.009811613320798024,0.012898843903336262,0.0030872305825382427,0.09620363797691589,0.037196956643916965,0.03119158027724135,0.03119158027724135,0.02343595640753122,0.02343595640753122,0.007755623869710123,0.3288778277446184,0.08154055640808307,0.05900668133299895,0.007755623869710123
316,0.06820599591879689,0.05242539585032332,0.047157248451582756,0.027188726384726733,0.022767933750564965,0.017263288094805006,0.00992543828992172,0.009778403872734832,0.012853790496537548,0.00307538662380272,0.09647691508225767,0.03729675794974745,0.03132056871627471,0.03132056871627471,0.023534072540739203,0.023534072540739203,0.007786496175535506,0.32935287607271346,0.08176941116387443,0.05918015713251025,0.007786496175535506
317,0.06762886826102246,0.05207609698560338,0.046811843877501196,0.027049961305360075,0.022650595167307167,0.017179090092884007,0.009870871212476059,0.009745045348256043,0.012808551431032314,0.003063506082776274,0.09674880234610493,0.037396012332646666,0.03144910662124009,0.03144910662124009,0.02363185657946655,0.02363185657946655,0.007817250041773534,0.3298244485572293,0.08199709050138007,0.0593527900134583,0.007817250041773534
