"i","Seed","R12","R15","R12R23","R12R25","R15R52","R15R52R23","R15R54","R12R23R34","R12R25R54","R15R52R23R34"
45,0.40287786427343414,0.20446181693886972,0.2323762662377909,0.03436209473600998,0.022908063157339974,0.014132510047959776,0.0012717396553297217,0.0777722640714985,0.005812306662462735,0.00387487110830849,0.0001502031110102086
46,0.3948203069879656,0.205765168166886,0.23355377995188692,0.035433978675149747,0.02362265245009982,0.014583967909759228,0.0013438173190641832,0.08045352868193455,0.006155927609822835,0.00410395173988189,0.0001629205075635058
47,0.3869239008482063,0.20698023020610976,0.23462708900500923,0.03650416697570746,0.024336111317138295,0.015035434363728102,0.0014178829533320967,0.08314837998907171,0.0065102673965743325,0.004340178264382888,0.00017635868075414765
48,0.37918542283124235,0.2081094867883656,0.2355993942434238,0.03757206536122345,0.025048043574148957,0.015486668886018832,0.0014939167299811444,0.0858556156314372,0.006875309066331407,0.004583539377554271,0.00019053751028746862
49,0.3716017143746178,0.2091553636868258,0.2364738170337368,0.03863710269306913,0.025758068462046077,0.015937439782495236,0.001571897575997446,0.08857407018039978,0.007251029719943641,0.004834019813295761,0.00020547667758728008
50,0.3641696800871255,0.21012022997076804,0.23725340106658718,0.039698730337816464,0.026465820225210965,0.016387523952339656,0.001651803238932443,0.09130261422309674,0.007637400746874332,0.005091600497916221,0.00022119565334725454
51,0.3568862864853832,0.21100639923413514,0.237941114121301,0.04075642154962054,0.027170947699747015,0.01683670665724082,0.0017336103502571564,0.09404015346617274,0.008034388050252497,0.0053562587001683305,0.00023771368573657898
52,0.3497485607556759,0.2118161307984336,0.23853984979232914,0.04180967086728373,0.027873113911522477,0.01728478129603884,0.0018172944866980296,0.09678562785988006,0.008441952265748702,0.005627968177165801,0.0002550497892391505
53,0.34275358954056256,0.21255163089049628,0.2390524291782735,0.04285799352567697,0.02857199568378464,0.01773154918470644,0.0019028302296072823,0.09953801074209924,0.008860048974421539,0.005906699316281025,0.0002732227341061308
54,0.33589851774975155,0.21321505379562503,0.23948160253428954,0.04390092488120056,0.0292672832541337,0.018176819341548064,0.001990191222419448,0.10229630800184855,0.009288628909678309,0.0061924192731188715,0.0002922510364022036
55,0.3291805473947567,0.21380850298661727,0.23983005088863724,0.04493801985097365,0.029958679900649092,0.018620408277500982,0.002079350226244542,0.10505955726185959,0.009727638158490315,0.0064850921056602085,0.0003121529486263981
56,0.32259693644686177,0.2143340322291716,0.24010038762413596,0.04596885236544818,0.03064590157696545,0.01906213979142514,0.0021702791736471026,0.1078268270798054,0.01017701835700005,0.0067846789046667,0.0003329464508888435
57,0.3161449977179246,0.2147936466641561,0.24029516002526405,0.046993014834149506,0.031328676556099666,0.019501844770270747,0.0022629492206591825,0.1105972161677762,0.010636706880654533,0.007091137920436355,0.00035464924262531455
58,0.3098220977635661,0.21518930386721513,0.24041685079162725,0.04801011762425217,0.03200674508283478,0.019939360994015116,0.002357330797074215,0.11336985262960617,0.011106637028996029,0.0074044246859973515,0.00037727873483190636
59,0.303625655808295,0.21552291488617828,0.24046787951850654,0.04901978855170575,0.0326798590344705,0.020374532945262473,0.002453393655067564,0.1161438932156634,0.011586738205238551,0.0077244921368256995,0.0004008520428026485
60,0.29755314269212924,0.21579634525672786,0.24045060414517994,0.05002167238463147,0.033347781589754315,0.020807211623402835,0.0025511069161884632,0.11891852259472308,0.012076936090755608,0.008051290727170405,0.00042538597935332415
61,0.29160207983828695,0.216011415996771,0.24036732237169928,0.05101543035871635,0.0340102869058109,0.02123725436322822,0.0026504391167669955,0.12169295264255206,0.012577152814601922,0.008384768543067947,0.0004508970485152088
62,0.28577003824152136,0.21616990457995355,0.24022027304478852,0.0520007397043376,0.034667159802891735,0.021664524657906616,0.002751358251778695,0.12446642174684089,0.013087307118189085,0.008724871412126056,0.0004774014396828788
63,0.28005463747669096,0.21627354588874415,0.24001163751351642,0.05297729318515544,0.0353181954567703,0.02208889198621638,0.0028538318172083477,0.1272381941281269,0.013607314515232461,0.009071543010154974,0.0005049150222006658
64,0.2744535447271572,0.21632403314750828,0.23974354095538267,0.05394479864791827,0.03596319909861218,0.022510231643945656,0.0029578268509535626,0.13000755917635978,0.014137087447084015,0.009424724964722677,0.0005334533403727492
