"i","Seed","R12","R15","R12R23","R12R25","R15R52","R15R52R23","R15R54","R12R23R34","R12R25R54","R15R52R23R34"
1,0.7000000000000004,0.1363636363636364,0,0,0,0,0,0,0,0,0
2,0.4900000000000002,0.20821678321678333,0,0.014160839160839163,0.00944055944055944,0.005664335664335665,0,0.028321678321678326,0,0,0
3,0.3430000000000005,0.23899744486282962,0,0.033659225389994635,0.022439483593329757,0.013607477138246372,0.0005097902097902098,0.07058633674018291,0.0021241258741258743,0.001416083916083916,0
4,0.24010000000000045,0.24440522975545184,0,0.053429307009558516,0.03561953800637234,0.021855651466876326,0.0016579946207638517,0.11795057309554355,0.0071730096826250695,0.004782006455083379,0.00007646853146853147
5,0.1680700000000005,0.23484523369637894,0,0.07079545404811396,0.047196969365409305,0.02933691972865097,0.0033763040596681434,0.1651919575645111,0.015187405734058846,0.01012493715603923,0.0003251677245831092
6,0.11764900000000034,0.2171175796125652,0,0.08456391020936699,0.05637594013957799,0.035542546408085005,0.005510181226296509,0.20942170483957423,0.02580672384127594,0.017204482560850626,0.0008316133335333307
7,0.08235430000000028,0.19558258244185903,0,0.09442614925311293,0.06295076616874196,0.04030443592543379,0.007882483219079682,0.24922529830995643,0.03849131037268099,0.025660873581787324,0.001658140517477807
8,0.057648010000000235,0.1729618826835653,0,0.10057272581103135,0.0670484838740209,0.04365077877633258,0.01032750996950677,0.28409400873089563,0.05265523276064793,0.035103488507098615,0.0028405130003397593
9,0.04035360700000021,0.15088726449182938,0,0.10344824321805458,0.06896549547870306,0.045714040582535954,0.012706953563950686,0.31405316821126217,0.06774114163230263,0.04516076108820175,0.004389639495765775
10,0.028247524900000143,0.1302749256129988,0,0.10360006881719022,0.06906671254479349,0.04667368911140216,0.014915174181786318,0.3394227291177344,0.08325837811501081,0.05550558541000721,0.006295682530358377
11,0.019773267430000095,0.11157927754746232,0,0.10158860846211541,0.06772573897474361,0.046721733118023946,0.016878530074544564,0.3606661092509743,0.09879838843758934,0.06586559229172624,0.008532958657626325
12,0.013841287201000078,0.09496383415994701,0,0.09793739601503457,0.06529159734335639,0.04604303929815855,0.018551706543985035,0.3782974200547581,0.11403667970690665,0.07602445313793778,0.01106473816880801
13,0.009688901040700054,0.08041523419463803,0,0.09310841554477388,0.062072277029849264,0.0448050528202896,0.01991282409922155,0.39282685534958467,0.12872728910916184,0.08581819273944123,0.013847494150405766
14,0.006782230728490038,0.0678184266699972,0,0.08749296599480867,0.05832864399653912,0.04315335643299207,0.020958355238164382,0.4047306471822273,0.14269355144087792,0.09512903429391863,0.016834417765289
