"i","Seed","R12","R15","R12R15","R12R23","R12R25","R15R52","R12R25R23","R15R52R23","R12R15R54","R15R52R54","R12R15R23R34","R12R15R23R54","R12R25R23R34","R12R25R23R54","R15R52R23R54","R15R54","R12R23R34","R12R25R54","R15R52R23R34"
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.8730769230769231,0.05769230769230768,0.06923076923076922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.7622633136094674,0.09796597633136092,0.1151360946745562,0.00496153846153846,0.004326923076923076,0.0028846153846153835,0.0020769230769230765,0,0,0,0,0,0,0,0,0,0,0.010384615384615383,0,0,0
3,0.6655145084205735,0.12479866010468818,0.14372959035047791,0.012197573964497038,0.010592640532544375,0.007133875739644968,0.005063698224852069,0.0004326923076923076,0.0005884615384615382,0.00015576923076923073,0.000744230769230769,0.00031153846153846146,0,0,0,0,0,0.02765502958579881,0.0006490384615384614,0.0004326923076923075,0
